"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2022-01,75.5,15.85,3.86,2.19,2.6,0.01
2022-02,75.85,15.76,3.31,2.19,2.87,0.01
2022-03,75.7,15.32,3.83,2.36,2.79,0.01
2022-04,74.79,15.38,4.97,2.49,2.36,0.01
2022-05,75.54,14.98,4.81,2.45,2.22,0.01
2022-06,76.33,14.64,4.88,2.42,1.71,0.01
2022-07,75.21,14.51,6,2.76,1.5,0.01
2022-08,74.73,14.39,6.19,2.8,1.88,0.01
2022-09,75.06,14.86,4.86,2.8,2.41,0.01
2022-10,75.96,15.7,3.34,2.6,2.38,0.01
2022-11,75.11,15.6,4.03,2.77,2.48,0.01
2022-12,75.34,14.66,4.78,2.93,2.28,0.01
